Timestamp,EAR,PERCLOS,MOR,FOM,Tilt Angle,Fatigue Detected
2024-12-04 08:51:28,0.22,100.00,0.25,0,90.85509739626673,No,No
2024-12-04 08:51:29,0.30,31.25,0.28,0,90.85509739626673,No,No
2024-12-04 08:51:30,0.29,15.62,0.31,0,95.1944289077348,No,No
2024-12-04 08:51:32,0.29,10.64,0.27,0,91.73570458892839,No,No
2024-12-04 08:51:33,0.17,12.90,0.28,0,91.76239102366053,No,No
2024-12-04 08:51:34,0.27,22.37,0.31,0,95.27389595735177,No,No
2024-12-04 08:51:35,0.17,27.47,0.18,0,96.24191434741505,No,No
2024-12-04 08:51:36,0.24,31.78,0.19,0,96.05419189411484,No,No
2024-12-04 08:51:37,0.18,28.46,0.25,0,96.05419189411484,No,No
2024-12-04 08:51:38,0.26,27.54,0.25,0,95.11731484997264,No,No
2024-12-04 08:51:39,0.29,26.80,0.26,2,94.26789330029081,No,No
